rank,title,duration,genres,directors,cast,synopsis,rating,duration_min
56,Indiana Jones et la Dernière Croisade,2h 07min,"Action,Aventure",Steven Spielberg,"Harrison Ford,Sean Connery,Denholm Elliott","L'archéologue aventurier Indiana Jones se retrouve aux prises avec un maléfique milliardaire. Aux côtés de la cupide Elsa et de son père, il part à la recherche du Graal.",4.4,127
57,Princesse Mononoké,2h 15min,"Aventure,Animation,Fantastique",Hayao Miyazaki,"Gillian Anderson,Claire Danes,Pamela Adlon","Japon, XVe siècle. Jadis protégée par des animaux géants, la forêt se dépeuple à cause de l'homme. Blessé par un sanglier rendu fou par les démons, le jeune guerrier Ashitaka quitte les siens et part à la recherche du dieu-cerf qui seul pourra défaire le sortilège qui lui gangrène le bras. Au cours de son voyage, Ashitaka rencontre Lady Eboshi, à la tête d’une communauté de forgerons, qui doit se défendre contre ceux qui lui reprochent de détruire la forêt pour alimenter ses forges. Parmi ses pires ennemis se trouve San, une jeune fille sauvage élevée par des loups, aussi appelée ""Princesse Mononoké"", la princesse des spectres...",4.8,135
58,Le Pianiste,2h 28min,"Drame,Historique",Roman Polanski,"Adrien Brody,Thomas Kretschmann, Emilia Fox","Durant la Seconde Guerre mondiale, Wladyslaw Szpilman, un pianiste juif polonais, est interné dans le ghetto de Varsovie dont il partage les souffrances, les humiliations et les luttes héroïques. Un officier allemand l'aide et lui permet de survivre.",4.1,148
59,Intouchables,1h 52min,Drame,"Eric Toledano,Olivier Nakache","François Cluzet,Omar Sy,Anne Le Ny","La rencontre improbable, touchante et drôle entre un riche aristocrate, tétraplégique depuis un accident de parapente, et un jeune de banlieue engagé par hasard pour être son aide à domicile...",3.7,112
60,Harakiri,2h 13min,Drame,Masaki Kobayashi,"Tatsuya Nakadai,Shima Iwashita,Akira Ishihama","Japon, 17ème siècle. Le samouraï Tsugumo vient se présenter à la demeure du clan Lyi. Il veut se faire Hara-kiri. Mais le maître des lieux essaie bien de l'en dissuader. Tsugumo livre alors dans un récit les vraies raisons de son geste...",4.6,133
61,Spider-Man : New Generation,1h 57min,"Action,Animation,Famille","Bob Persichetti, Peter Ramsey,Rodney Rothman","Stéphane Bak,Shameik Moore,Jake Johnson (XVI)","SPIDER-MAN : NEW GENERATION présente Miles Morales, un adolescent vivant à Brooklyn, et révèle les possibilités illimitées du Spider-Verse, un univers où plus d’un peut porter le masque…",4.2,117
62,Il faut sauver le soldat Ryan,2h 43min,"Drame,Guerre",Steven Spielberg,"Ryan Hurst,Tom Hanks,Tom Sizemore","Alors que les forces alliées débarquent à Omaha Beach, Miller doit conduire son escouade derrière les lignes ennemies pour une mission particulièrement dangereuse : trouver et ramener sain et sauf le simple soldat James Ryan, dont les trois frères sont morts au combat en l'espace de trois jours. Pendant que l'escouade progresse en territoire ...",3.0,163
63,Ip Man,1h 45min,"Biopic,Arts Martiaux",Wilson Yip,"Donnie Yen,Simon Yam,Siu-Wong Fan","Film biographique sur la vie de Ip Man, pionnier du Wing Chun et maitre de Bruce Lee.",4.4,105
64,Les Aventuriers de l'Arche perdue,1h 56min,"Action,Aventure",Steven Spielberg,"Harrison Ford,Karen Allen,Paul Freeman","1936. L'aventurier Indiana Jones est mandaté pour mettre la main sur le médaillon de Râ, qui serait le premier pas sur le chemin de l'Arche d'Alliance, celle-là même où Moïse conserva les Dix Commandements. Une pièce dont Hitler cherche aussi à s'emparer.",4.6,116
65,Matrix,2h 15min,"Action,Science Fiction","Lana Wachowski,Lilly Wachowski","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss","Programmeur anonyme, Thomas Anderson est aussi l'un des pirates les plus recherchés du cyber-space. Il est contacté par un certain Morpheus. Ensemble, ils se lancent dans une lutte sans retour contre la Matrice et ses terribles agents...",3.4,135
66,"Alien, le huitième passager",1h 56min,"Epouvante-horreur,Science Fiction",Ridley Scott,"Sigourney Weaver,Tom Skerritt,Veronica Cartwright","Le vaisseau Nostromo et son équipage rentrent sur Terre avec une cargaison de minerai. Mais lors d'un arrêt forcé sur une planète déserte, l'officier Kane se fait agresser par une forme de vie inconnue, une arachnide qui étouffe son visage...",4.4,116
67,Shutter Island,2h 17min,Thriller,Martin Scorsese,"Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley","1954. Teddy Daniels et Chuck Aule enquêtent sur la disparition d'une patiente échappée d'un hôpital psychiatrique à sécurité maximale. L'hôpital en question est basé sur Shutter Island, une île située à environ une heure au large de Boston.",3.8,137
68,Fenêtre sur cour,1h 50min,"Policier,Thriller",Alfred Hitchcock,"James Stewart,Grace Kelly,Wendell Corey",Un reporter immobilisé par un plâtre observe de sa fenêtre les allées et venues de ses voisins. Le comportement bizarre d'un représentant de commerce l'intrigue à un point tel qu'il le croit meurtrier de sa femme. Fantasme ou réalité ?,3.9,110
69,Le Conte de la princesse Kaguya,2h 17min,"Animation,Drame,Famille",Isao Takahata,"Aki Asakura,Kengo Kora,Takeo Chii","Kaguya, « la princesse lumineuse », est un petit être découvert dans la tige d’un bambou par un vieux paysan. La considérant comme un don du ciel, il l’élève avec sa femme, et très vite l’enfant devient une magnifique jeune fille. De la campagne lointaine jusqu’à la grande capitale, sa fascinante beauté suscitera l’engouement auprès de tous ceux qui la rencontrent et elle sera convoitée par cinq nobles princes qui devront relever d’impossibles défis dans l’espoir d’obtenir sa main. Mais le temps venu, elle devra affronter son destin…",4.5,137
70,Full Metal Jacket,1h 56min,"Drame,Guerre",Stanley Kubrick,"Matthew Modine,Arliss Howard,Vincent D'Onofrio","Pendant la guerre du Viêt Nam, la préparation et l'entrainement d'un groupe de jeunes marines, jusqu'au terrible baptême du feu et la sanglante offensive du Tết à Huế, en 1968.",4.8,116
71,Mommy,2h 19min,Drame,Xavier Dolan,"Anne Dorval, Antoine-Olivier Pilon,Suzanne Clément","Une veuve mono-parentale hérite de la garde de son fils, un adolescent profondément turbulent. Ensemble, ils tentent de joindre les deux bouts, notamment grâce à l’aide inattendue de la mystérieuse voisine d’en face, Kyla.",4.3,139
72,Toy Story 3,1h 40min,"Aventure,Animation,Comédie",Lee Unkrich,"Jean-Philippe Puymartin,Tom Hanks,Richard Darbois","Woody le cowboy, Buzz l'Eclair et les autres jouets se retrouvent confrontés à ce qui devait bien arriver un jour : le départ d'Andy pour l'université...",4.7,100
73,Vivre,2h 23min,Drame,Akira Kurosawa,"Takashi Shimura,Shin'ichi Himori,Haruo Tanaka","Atteint d'un cancer, Watanabe, chef de service du génie civil, décide de réaliser le projet qu'il avait tout d'abord repoussé, celui d'assainir un terrain vague du quartier de Hureocho pour que les enfants puissent jouer dans un véritable jardin.",4.4,143
74,La Vérité,2h 07min,Drame,Henri-Georges Clouzot,"Brigitte Bardot,Paul Meurisse,Charles Vanel","Dominique Marceau, une jeune fille provocante, est accusée du meurtre de son ancien amant Gilbert Tellier. Au cours du procès, l'histoire de sa relation avec la victime est reconstituée.",4.9,127
75,Elephant Man,2h 05min,"Biopic, Drame",David Lynch,"Anthony Hopkins,John Hurt,Anne Bancroft","Londres, 1884. Le chirurgien Frederick Treves découvre un homme complètement défiguré et difforme, devenu une attraction de foire. John Merrick, "" le monstre "", doit son nom de Elephant Man au terrible accident que subit sa mère.",4.8,125
